"Site/Building URL","SiteID","Property Name","Property Address","Property City","Property County","Property State","Property Zip Code","Date Added","Date Expired","IsBuilding","Property Min Size","Property Max Size","BrokerID","IsFeatured","SubTypes","Description","Broker","Broker Company","Broker Address","Broker City","Broker State","Broker Zip","Broker Phone","Broker Cell","Broker Fax","Broker Web","Broker Email","siteid","Cooling","Total Acres","Ceiling Height Min","Cranes","Property Description","Voltage","For Sale","Lease Rate","Lease Terms","Lease Type","Outside Storage","Parcel","Rail Access","Sale Price","Sale Terms","Featured Property","Sprinkler","Total Building sf","Office Area","Unit Number","Website","Zoning","For Lease","Number of Drive in Doors","New","Updated","Name","Phone","Email","Company","City","Employment Area","Total Floor sf","Address","Building Description","Heating System","Available sf","Featured Property Description","Fax","Operating Expense","Number of dock high doors without levelers","Mobile Phone","Central Area","Major Urban Facility","Rural Area","Developing Community","Mixed-Use Center","Mainstreet Area","CBRE Description","Office Percentage","Incentives"
"https://properties.zoomprospector.com/ottawa/property/1730-Saint-Laurent-Boulevard---520-Ottawa-Ontario/D8D7F20E-ACB3-4779-8499-0032A186B664","D8D7F20E-ACB3-4779-8499-0032A186B664","1730 St. Laurent Blvd","1730 Saint Laurent Boulevard - 520","Ottawa","Ontario","Ontario","K1G 3Y7",Wed Nov 27 2024 16:35:25 GMT+0000 (Coordinated Universal Time),,true,2332,2332,33011,0,"Office","<p></p>",,"Spacelist",,,,,,,,,"ottawa_spacelist@gisp.com","D8D7F20E-ACB3-4779-8499-0032A186B664","","","","","<p>1730 St. Laurent Blvd is conveniently located at the corner of St. Laurent Blvd and Industrial Avenue with easy access to the Queensway and public transit. This Class ""A"" office building is near many services and retail amenities.</p>

<p><strong>Indoor/Outdoor vehicle and bicycle parking.</strong></p>","","","","","direct","","","","","","","","103098","103,098 ft&sup2;","","","C","1","","","","Kevin Smith","613-782-3871","kevin.smith@bgo.com","","","","","","","","","","","","","","","","","","","","","",""
"https://properties.zoomprospector.com/ottawa/property/375-Saint-Laurent-Boulevard---200-Ottawa-Ontario/215C017B-5556-41B7-9C54-006533E0252F","215C017B-5556-41B7-9C54-006533E0252F",,"375 Saint Laurent Boulevard - 200","Ottawa","Ontario","Ontario","K1K 2Z7",Wed Jun 11 2025 16:35:40 GMT+0000 (Coordinated Universal Time),,true,350,350,33011,0,"Office","• Multiple retail units available for lease in established plaza
• Located in high traffic area with great visibility
• Co-tenants include Works Burger, Papa John’s Pizza, Epicuria, and Edward Jones
• Possibility for pylon signage
• Ample parking and public transit at doorstep",,"Spacelist",,,,,,,,,"ottawa_spacelist@gisp.com","215C017B-5556-41B7-9C54-006533E0252F","","","","","","","","","","direct","","","","","","","","","","","","","1","","","","Candice Lerner-Fry","","candice.lf@marcusmillichap.com","","","","","","","","","","","","","","","","","","","","","",""
"https://properties.zoomprospector.com/ottawa/property/81-Metcalfe-Street---800-Ottawa-Ontario/4E428E0C-3E4D-44CD-98D1-006B99D54470","4E428E0C-3E4D-44CD-98D1-006B99D54470","81 Metcalfe Street","81 Metcalfe Street - 800","Ottawa","Ontario","Ontario","K1P 6K7",Mon Apr 28 2025 16:35:47 GMT+0000 (Coordinated Universal Time),,true,3290,3290,33011,0,"Office",,,"Spacelist",,,,,,,,,"ottawa_spacelist@gisp.com","4E428E0C-3E4D-44CD-98D1-006B99D54470","","","","","<p>81 Metcalfe Street is a prominent corner property situated in the heart of Ottawa’s downtown core. This location offers stunning panoramic street views and a strong aesthetic presence, making it a standout choice for businesses.</p><p>Each floor features large windows that allow ample natural light to fill the space, creating an inviting intimate boutique atmosphere. With a Starbucks conveniently located on site, this property provides both a vibrant environment and essential amenities, making it ideal for those seeking to establish themselves in a bustling urban area.</p>","","","","","direct","","","","","","","","16","","","","","1","","","","David A. MacLeod","613 696 2764","david.macleod@avisonyoung.com","","","","","","","","","","","","","","","","","","","","","",""
"https://properties.zoomprospector.com/ottawa/property/14-Colonnade-Road-Ottawa-Ontario/5BD71C91-6D0B-4FA4-B815-00A41500F1FE","5BD71C91-6D0B-4FA4-B815-00A41500F1FE","14-20 Colonnade Road","14 Colonnade Road","Ottawa","Ontario","Ontario","K2E 7M6",Wed Apr 09 2025 16:35:29 GMT+0000 (Coordinated Universal Time),,true,28872,28872,33011,0,"Office","<br/>Attractive, finished professional space with large offices, open plan, reception.

Property was sold in January 2007 as part of a portfolio sale worth $15.9 million",,"Spacelist",,,,,,,,,"ottawa_spacelist@gisp.com","5BD71C91-6D0B-4FA4-B815-00A41500F1FE","","","","","Attractive, finished professional space with large offices, open plan, reception.

Property was sold in January 2007 as part of a portfolio sale worth $15.9 million","","1","","","","","","","0.0","","","","28872","0 ft&sup2;","","","","","","","","Nathan Smith","","nsmith@cwottawa.com","","","","","","","","","","","","","","","","","","","","","",""
"https://properties.zoomprospector.com/ottawa/property/4043-Carling-Avenue---LL-12-Ottawa-Ontario/F576A5E2-2B63-40A7-A16B-00B5D43F3E05","F576A5E2-2B63-40A7-A16B-00B5D43F3E05",,"4043 Carling Avenue - LL-12","Ottawa","Ontario","Ontario","K2K 2A4",Fri Apr 18 2025 16:35:31 GMT+0000 (Coordinated Universal Time),,true,488,488,33011,0,"Office","Take your business to new heights with our beautiful office space for lease in the highly sought-after Kanata North Business Park.  Our building boasts impressive features such as an elevator, common showers, and ample on-site parking – everything you need to create a productive and comfortable work environment. Don't miss out on this incredible opportunity to elevate your business in an ideal location. Secure your office space today and experience the difference that a prime location can make.<br/><br/><ul><li>- Dedicated Fibre Internet with symmetrical speeds up to 10Gbps available</li><li>- On-site personal trainer</li><li>- Walking distance to transit and retail amenities</li><li>- Common showers in the building</li><li>- Easy access to Highway 417</li></ul>",,"Spacelist",,,,,,,,,"ottawa_spacelist@gisp.com","F576A5E2-2B63-40A7-A16B-00B5D43F3E05","","","","","Located off March Road with easy access to Highway 417. This professionally managed building offers an excellent opportunity to grow or expand in one of Canada’s largest technology business parks. Within walking distance to amenities such as Tim Hortons, Lone Star, Goodlife Fitness, Metro, Cora’s, Wendy’s, Royal Oak, bike paths and public transit to name a few.","","","","","direct","","","","","","","","32361","","","","IG6","1","","","","Marlene Piitz","16132245464","mpiitz@merkburn.com","","","","","","","","","","","","","","","","","","","","","",""
"https://properties.zoomprospector.com/ottawa/property/1070-Voie-Noëlla-Leclair-Way---Unit-113-Ottawa-Ontario/83280EA5-1654-4B8A-A370-0112F656D930","83280EA5-1654-4B8A-A370-0112F656D930","1070 Noëlla Leclair Way","1070 Voie Noëlla Leclair Way - Unit 113","Ottawa","Ontario","Ontario","K4A 3T9",Thu Apr 10 2025 16:35:23 GMT+0000 (Coordinated Universal Time),,true,1098,1098,33011,0,"Retail","Prime retail space for lease on the ground floor of Trinity Crossing, a brand-new mixed-use development, ideally located in the heart of Orleans. Three (3) suites available featuring approx. 1,098 SF - 1,108 SF each, suites can be combined for up to approx. 3,304 SF of contiguous space. Located less than a 5km drive from the Queensway next to the intersection of Innes Road and Mer-Blue Road, this high-traffic area offers excellent visibility and accessibility. Close proximity to national retailers such as Walmart Supercentre, Canadian Tire, Indigo, and well established residential neighborhoods. This strategically located space offers a unique opportunity for businesses seeking a newly built location in a rapidly developing area, with easy access to major roadways and a wide range of nearby amenities.<br/><br/><ul><li>Available Summer 2025</li><li>Zoning: AM - Arterial Mainstreet Zone</li><li>5 km drive from the Queensway</li><li>Centrally located high-traffic area</li><li>Utilities extra</li></ul>",,"Spacelist",,,,,,,,,"ottawa_spacelist@gisp.com","83280EA5-1654-4B8A-A370-0112F656D930","","","","","Located at the intersection of Innes Road and Mer-Blue Road.","","","","","direct","","","","","","","","3304","","","","","1","","","","John Zinati","16138804106","john@zinatirealty.com","","","","","","","","","","","","","","","","","","","","","",""
"https://properties.zoomprospector.com/ottawa/property/290-Picton-Avenue---201-Ottawa-Ontario/BB4321BF-7711-4B36-A12A-0151107D0DC5","BB4321BF-7711-4B36-A12A-0151107D0DC5",,"290 Picton Avenue - 201","Ottawa","Ontario","Ontario","K1Z 8P8",Fri May 02 2025 16:35:45 GMT+0000 (Coordinated Universal Time),,true,1223,1223,33011,0,"Office","Office space available on the second floorwalk-up in the bustling Westboro centre at 290 Picton Avenue Unit 201. With high levels of vehicle and pedestrian traffic and a proximity to several transit lines, this is a high access zone. Features 4 offices, as well as an open workspace ideal for collaboration. A stunning area with numerous shops, cafes, and restaurants to explore. Parking is available for approximately $150.00 per month. Additional Rent is approximately $13.72 per Sq. Ft. + HST. Possibility to join with 1 of 2 or with 2 other offices on the same floor for even more space in this prime location.",,"Spacelist",,,,,,,,,"ottawa_spacelist@gisp.com","BB4321BF-7711-4B36-A12A-0151107D0DC5","","","","","","","","","","direct","","","","","","","","21065","","","","","1","","","","Ben Zunder, Sales Representative","613-913-8858","bzunder@cdnglobal.com","","","","","","","","","","","","","","","","","","","","","",""
"https://properties.zoomprospector.com/ottawa/property/222-Queen-Street---1022-Ottawa-Ontario/63323F6F-AE25-48E7-9946-01A9A9641689","63323F6F-AE25-48E7-9946-01A9A9641689",,"222 Queen Street - 1022","Ottawa","Ontario","Ontario","K1P 5V9",Mon Apr 28 2025 16:35:46 GMT+0000 (Coordinated Universal Time),,true,1350,1350,33011,0,"Office","Move-in ready Private Office with task furniture included.

Our Private Offices are perfect for individuals or teams looking for a secure, private workspace. Each office comes fully furnished with everything you need to stay productive—plus access to lounges, meeting rooms, secure Wi-Fi, stocked kitchens, and on-site reception and support staff.

Please note: The exact suite may not be pictured.",,"Spacelist",,,,,,,,,"ottawa_spacelist@gisp.com","63323F6F-AE25-48E7-9946-01A9A9641689","","","","","Located in the downtown core, our Ottawa co-working and shared office space is strategically located between two light rail stations. Enjoy the benefits of being mere steps from the food, coffee, and shops of both Bank Street and Sparks Street, or visit the Rideau Centre only a few blocks away.","","","","","private_office","","","","","","","","205417","","","","","1","","","","Ellen Murphy","2363358542","sales@iqoffices.com","","","","","","","","","","","","","","","","","","","","","",""
"https://properties.zoomprospector.com/ottawa/property/2208-Saint-Joseph-Boulevard-Ottawa-Ontario/FC066D08-CF90-40F2-8FF2-01CB554F7455","FC066D08-CF90-40F2-8FF2-01CB554F7455",,"2208 Saint Joseph Boulevard","Ottawa","Ontario","Ontario","K1C 1E8",Mon Aug 12 2024 16:35:20 GMT+0000 (Coordinated Universal Time),,true,1832,1832,33011,0,"Retail","High-traffic retail strip mall on St Joseph Blvd in Orleans in the East of Ottawa. A well-managed and maintained building offers great exposure and lots of on-site parking—an ideal opportunity for retail, office, and medical service providers. Currently, there is 1,832 SF.  The property offers large windows, good sign visibility from the road directly on each unit, plus a large sign tower at the entrance to the place. The leases will be triple net with a base rent of $28.00 per square foot for the first year with annual escalations. The building's operating costs are currently $15.00 per square foot, which, due to excellent management, falls below the average rate for similar buildings. Tenants will pay for their hydro, gas, and water in addition to the rent. Parking is included at no additional charge. Mandatory pylon sign rental is $75 per month. Food-related businesses will not be considered.",,"Spacelist",,,,,,,,,"ottawa_spacelist@gisp.com","FC066D08-CF90-40F2-8FF2-01CB554F7455","","","","","High-traffic retail strip mall on St Joseph Blvd in Orleans in the East of Ottawa. A well-managed and maintained building offers great exposure and lots of on-site parking—an ideal opportunity for retail, office, and medical service providers. Currently, there is 1,832 SF.  The property offers large windows, good sign visibility from the road directly on each unit, plus a large sign tower at the entrance to the place. The leases will be triple net with a base rent of $28.00 per square foot for the first year with annual escalations. The building's operating costs are currently $15.00 per square foot, which, due to excellent management, falls below the average rate for similar buildings. Tenants will pay for their hydro, gas, and water in addition to the rent. Parking is included at no additional charge. Mandatory pylon sign rental is $75 per month. Food-related businesses will not be considered.","","","","","direct","","","","","","","","11001","","","","","1","","","","Mitch Gauzas","6133025752","mitch@myottawaagent.com","","","","","","","","","","","","","","","","","","","","","",""
"https://properties.zoomprospector.com/ottawa/property/300-Miwate-Pvt---Suite-A-Ottawa-Ontario/87E75B98-82F3-4DED-9C60-025FCED0754C","87E75B98-82F3-4DED-9C60-025FCED0754C",,"300 Miwate Pvt - Suite A","Ottawa","Ontario","Ontario","K1R 0E8",Fri May 16 2025 16:36:06 GMT+0000 (Coordinated Universal Time),,true,708,708,33011,0,"Retail","Welcome to Zibi, the Waterfront City, a vibrant 34-acre urban community in the heart of the National Capital Region. Situated on Chaudière Island at the shores of the Ottawa River, this new urban oasis is one of the most sustainable and trendy neighbourhoods in Ottawa. The area is characterized by a mix of residential and commercial spaces, attracting a wide range of individuals and businesses that will grow to include 5,000+ residents and 6,000+ office workers.

300 Miwate Private provides opportunities to front on Head Street Square or Chaudière Private. Tenants benefit from being connected to approximately 330+ residents in the apartment building above. Ideally located for a cafe, yoga/fitness studio, clothing store, jewelry boutique, hair or nail salon, spa or restaurant. Zibi will be a place where leisure, entertainment and recreation will be seamlessly integrated.<br/><br/><ul><li>All suites available immediately</li><li>Underground parking available for tenants and visitors</li><li>Highly accessible by foot, bike, car, bus or O-Train (10 minute walk to Pimisi LRT Station)</li><li>Mixed-Use Downtown zoning (MD5)</li><li>Unrivaled waterfront location, rich in cultural heritage and history</li><li>Minutes from downtown Ottawa, LeBreton Flats, Parliament and downtown Hull</li><li>Zero-carbon emission community</li></ul>",,"Spacelist",,,,,,,,,"ottawa_spacelist@gisp.com","87E75B98-82F3-4DED-9C60-025FCED0754C","","","","","Located on Chaudière Island","","","","","direct","","","","","","","","","","","","","1","","","","John Zinati","16138804106","john@zinatirealty.com","","","","","","","","","","","","","","","","","","","","","",""
